[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 8000/25650 | loss -9.3370 | eta 4.3 min [nsf p1 chunk 7/10]
  batch 9000/25650 | loss -9.3404 | eta 4.0 min [nsf p1 chunk 7/10]
  batch 10000/25650 | loss -9.3401 | eta 3.8 min [nsf p1 chunk 7/10]
  batch 11000/25650 | loss -9.3425 | eta 3.5 min [nsf p1 chunk 7/10]
  batch 12000/25650 | loss -9.3431 | eta 3.3 min [nsf p1 chunk 7/10]
  batch 13000/25650 | loss -9.3451 | eta 3.0 min [nsf p1 chunk 7/10]
  batch 14000/25650 | loss -9.3493 | eta 2.8 min [nsf p1 chunk 7/10]
  batch 15000/25650 | loss -9.3519 | eta 2.6 min [nsf p1 chunk 7/10]
  batch 16000/25650 | loss -9.3547 | eta 2.3 min [nsf p1 chunk 7/10]
  batch 17000/25650 | loss -9.3566 | eta 2.1 min [nsf p1 chunk 7/10]
  batch 18000/25650 | loss -9.3577 | eta 1.8 min [nsf p1 chunk 7/10]
  batch 19000/25650 | loss -9.3601 | eta 1.6 min [nsf p1 chunk 7/10]
  batch 20000/25650 | loss -9.3622 | eta 1.4 min [nsf p1 chunk 7/10]
  batch 21000/25650 | loss -9.3643 | eta 1.1 min [nsf p1 chunk 7/10]
  batch 22000/25650 | loss -9.3656 | eta 0.9 min [nsf p1 chunk 7/10]
  batch 23000/25650 | loss -9.3663 | eta 0.7 min [nsf p1 chunk 7/10]
  batch 24000/25650 | loss -9.3683 | eta 0.4 min [nsf p1 chunk 7/10]
  batch 25000/25650 | loss -9.3704 | eta 0.2 min [nsf p1 chunk 7/10]
[nsf|p1] chunk 7/10 | train -9.3702 | val -8.9472
  saved best (-8.9472) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -9.3991 | eta 6.7 min [nsf p1 chunk 8/10]
  batch 2000/25650 | loss -9.4189 | eta 5.9 min [nsf p1 chunk 8/10]
  batch 3000/25650 | loss -9.4106 | eta 5.7 min [nsf p1 chunk 8/10]
  batch 4000/25650 | loss -9.4119 | eta 5.6 min [nsf p1 chunk 8/10]
  batch 5000/25650 | loss -9.4220 | eta 5.1 min [nsf p1 chunk 8/10]
  batch 6000/25650 | loss -9.4224 | eta 4.9 min [nsf p1 chunk 8/10]
  batch 7000/25650 | loss -9.4287 | eta 4.6 min [nsf p1 chunk 8/10]
  batch 8000/25650 | loss -9.4266 | eta 4.4 min [nsf p1 chunk 8/10]
  batch 9000/25650 | loss -9.4262 | eta 4.1 min [nsf p1 chunk 8/10]
  batch 10000/25650 | loss -9.4308 | eta 3.8 min [nsf p1 chunk 8/10]
  batch 11000/25650 | loss -9.4309 | eta 3.6 min [nsf p1 chunk 8/10]
  batch 12000/25650 | loss -9.4334 | eta 3.3 min [nsf p1 chunk 8/10]
