[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s1 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf =====
  batch 17000/25650 | loss -9.2273 | eta 3.7 min [nsf p1 chunk 7/10]
  batch 18000/25650 | loss -9.2299 | eta 3.5 min [nsf p1 chunk 7/10]
  batch 19000/25650 | loss -9.2315 | eta 2.9 min [nsf p1 chunk 7/10]
  batch 20000/25650 | loss -9.2332 | eta 2.4 min [nsf p1 chunk 7/10]
  batch 21000/25650 | loss -9.2362 | eta 2.0 min [nsf p1 chunk 7/10]
  batch 22000/25650 | loss -9.2376 | eta 1.6 min [nsf p1 chunk 7/10]
  batch 23000/25650 | loss -9.2401 | eta 1.2 min [nsf p1 chunk 7/10]
  batch 24000/25650 | loss -9.2441 | eta 0.7 min [nsf p1 chunk 7/10]
  batch 25000/25650 | loss -9.2452 | eta 0.3 min [nsf p1 chunk 7/10]
[nsf|p1] chunk 7/10 | train -9.2454 | val -8.7401
  saved best (-8.7401) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -9.3021 | eta 11.5 min [nsf p1 chunk 8/10]
  batch 2000/25650 | loss -9.3189 | eta 10.2 min [nsf p1 chunk 8/10]
  batch 3000/25650 | loss -9.2996 | eta 10.2 min [nsf p1 chunk 8/10]
  batch 4000/25650 | loss -9.3026 | eta 9.4 min [nsf p1 chunk 8/10]
  batch 5000/25650 | loss -9.3136 | eta 8.6 min [nsf p1 chunk 8/10]
  batch 6000/25650 | loss -9.3149 | eta 8.5 min [nsf p1 chunk 8/10]
  batch 7000/25650 | loss -9.3257 | eta 7.7 min [nsf p1 chunk 8/10]
  batch 8000/25650 | loss -9.3272 | eta 7.1 min [nsf p1 chunk 8/10]
  batch 9000/25650 | loss -9.3254 | eta 6.6 min [nsf p1 chunk 8/10]
  batch 10000/25650 | loss -9.3293 | eta 5.7 min [nsf p1 chunk 8/10]
  batch 11000/25650 | loss -9.3298 | eta 5.9 min [nsf p1 chunk 8/10]
  batch 12000/25650 | loss -9.3315 | eta 5.1 min [nsf p1 chunk 8/10]
  batch 13000/25650 | loss -9.3339 | eta 4.6 min [nsf p1 chunk 8/10]
  batch 14000/25650 | loss -9.3327 | eta 3.9 min [nsf p1 chunk 8/10]
  batch 15000/25650 | loss -9.3332 | eta 4.0 min [nsf p1 chunk 8/10]
  batch 16000/25650 | loss -9.3320 | eta 3.6 min [nsf p1 chunk 8/10]
  batch 17000/25650 | loss -9.3315 | eta 2.9 min [nsf p1 chunk 8/10]
  batch 18000/25650 | loss -9.3322 | eta 2.6 min [nsf p1 chunk 8/10]
  batch 19000/25650 | loss -9.3336 | eta 2.2 min [nsf p1 chunk 8/10]
  batch 20000/25650 | loss -9.3361 | eta 1.8 min [nsf p1 chunk 8/10]
  batch 21000/25650 | loss -9.3363 | eta 1.5 min [nsf p1 chunk 8/10]
  batch 22000/25650 | loss -9.3387 | eta 1.2 min [nsf p1 chunk 8/10]
  batch 23000/25650 | loss -9.3382 | eta 0.9 min [nsf p1 chunk 8/10]
  batch 24000/25650 | loss -9.3399 | eta 0.6 min [nsf p1 chunk 8/10]
  batch 25000/25650 | loss -9.3415 | eta 0.2 min [nsf p1 chunk 8/10]
[nsf|p1] chunk 8/10 | train -9.3425 | val -8.6146
  batch 1000/25650 | loss -9.3227 | eta 10.2 min [nsf p1 chunk 9/10]
  batch 2000/25650 | loss -9.3373 | eta 9.4 min [nsf p1 chunk 9/10]
  batch 3000/25650 | loss -9.3619 | eta 7.9 min [nsf p1 chunk 9/10]
  batch 4000/25650 | loss -9.3713 | eta 7.3 min [nsf p1 chunk 9/10]
  batch 5000/25650 | loss -9.3767 | eta 7.0 min [nsf p1 chunk 9/10]
  batch 6000/25650 | loss -9.3802 | eta 5.8 min [nsf p1 chunk 9/10]
  batch 7000/25650 | loss -9.3797 | eta 6.1 min [nsf p1 chunk 9/10]
  batch 8000/25650 | loss -9.3798 | eta 5.3 min [nsf p1 chunk 9/10]
  batch 9000/25650 | loss -9.3755 | eta 5.1 min [nsf p1 chunk 9/10]
  batch 10000/25650 | loss -9.3763 | eta 4.8 min [nsf p1 chunk 9/10]
  batch 11000/25650 | loss -9.3817 | eta 5.6 min [nsf p1 chunk 9/10]
  batch 12000/25650 | loss -9.3821 | eta 4.3 min [nsf p1 chunk 9/10]
  batch 13000/25650 | loss -9.3852 | eta 4.2 min [nsf p1 chunk 9/10]
  batch 14000/25650 | loss -9.3867 | eta 13.1 min [nsf p1 chunk 9/10]
  batch 15000/25650 | loss -9.3852 | eta 4.0 min [nsf p1 chunk 9/10]
  batch 16000/25650 | loss -9.3872 | eta 4.0 min [nsf p1 chunk 9/10]
  batch 17000/25650 | loss -9.3855 | eta 3.6 min [nsf p1 chunk 9/10]
  batch 18000/25650 | loss -9.3879 | eta 3.1 min [nsf p1 chunk 9/10]
  batch 19000/25650 | loss -9.3886 | eta 2.8 min [nsf p1 chunk 9/10]
  batch 20000/25650 | loss -9.3931 | eta 2.3 min [nsf p1 chunk 9/10]
  batch 21000/25650 | loss -9.3940 | eta 1.9 min [nsf p1 chunk 9/10]
  batch 22000/25650 | loss -9.3974 | eta 1.5 min [nsf p1 chunk 9/10]
  batch 23000/25650 | loss -9.3985 | eta 1.1 min [nsf p1 chunk 9/10]
  batch 24000/25650 | loss -9.3980 | eta 0.7 min [nsf p1 chunk 9/10]
  batch 25000/25650 | loss -9.3985 | eta 0.3 min [nsf p1 chunk 9/10]
[nsf|p1] chunk 9/10 | train -9.4007 | val -8.7066
  batch 1000/25650 | loss -9.4730 | eta 10.2 min [nsf p1 chunk 10/10]
  batch 2000/25650 | loss -9.4466 | eta 9.9 min [nsf p1 chunk 10/10]
  batch 3000/25650 | loss -9.4477 | eta 9.1 min [nsf p1 chunk 10/10]
  batch 4000/25650 | loss -9.4422 | eta 9.0 min [nsf p1 chunk 10/10]
  batch 5000/25650 | loss -9.4355 | eta 8.6 min [nsf p1 chunk 10/10]
  batch 6000/25650 | loss -9.4361 | eta 8.1 min [nsf p1 chunk 10/10]
  batch 7000/25650 | loss -9.4458 | eta 7.8 min [nsf p1 chunk 10/10]
  batch 8000/25650 | loss -9.4444 | eta 7.1 min [nsf p1 chunk 10/10]
  batch 9000/25650 | loss -9.4446 | eta 6.9 min [nsf p1 chunk 10/10]
  batch 10000/25650 | loss -9.4452 | eta 6.4 min [nsf p1 chunk 10/10]
  batch 11000/25650 | loss -9.4498 | eta 6.7 min [nsf p1 chunk 10/10]
  batch 12000/25650 | loss -9.4475 | eta 5.7 min [nsf p1 chunk 10/10]
  batch 13000/25650 | loss -9.4482 | eta 6.7 min [nsf p1 chunk 10/10]
  batch 14000/25650 | loss -9.4519 | eta 7.8 min [nsf p1 chunk 10/10]
  batch 15000/25650 | loss -9.4532 | eta 4.4 min [nsf p1 chunk 10/10]
  batch 16000/25650 | loss -9.4573 | eta 4.0 min [nsf p1 chunk 10/10]
  batch 17000/25650 | loss -9.4574 | eta 3.6 min [nsf p1 chunk 10/10]
  batch 18000/25650 | loss -9.4595 | eta 3.2 min [nsf p1 chunk 10/10]
  batch 19000/25650 | loss -9.4617 | eta 2.7 min [nsf p1 chunk 10/10]
  batch 20000/25650 | loss -9.4645 | eta 2.3 min [nsf p1 chunk 10/10]
  batch 21000/25650 | loss -9.4668 | eta 2.1 min [nsf p1 chunk 10/10]
  batch 22000/25650 | loss -9.4663 | eta 1.5 min [nsf p1 chunk 10/10]
  batch 23000/25650 | loss -9.4677 | eta 1.1 min [nsf p1 chunk 10/10]
  batch 24000/25650 | loss -9.4692 | eta 0.7 min [nsf p1 chunk 10/10]
  batch 25000/25650 | loss -9.4705 | eta 0.3 min [nsf p1 chunk 10/10]
[nsf|p1] chunk 10/10 | train -9.4697 | val -8.9131
  saved best (-8.9131) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/51300 | loss -10.1268 | eta 22.7 min [nsf p2 chunk 1/5]
  batch 2000/51300 | loss -10.1242 | eta 25.0 min [nsf p2 chunk 1/5]
  batch 3000/51300 | loss -10.1380 | eta 19.7 min [nsf p2 chunk 1/5]
  batch 4000/51300 | loss -10.1454 | eta 21.9 min [nsf p2 chunk 1/5]
  batch 5000/51300 | loss -10.1530 | eta 17.6 min [nsf p2 chunk 1/5]
  batch 6000/51300 | loss -10.1581 | eta 17.5 min [nsf p2 chunk 1/5]
  batch 7000/51300 | loss -10.1616 | eta 17.5 min [nsf p2 chunk 1/5]
  batch 8000/51300 | loss -10.1639 | eta 17.7 min [nsf p2 chunk 1/5]
  batch 9000/51300 | loss -10.1632 | eta 17.8 min [nsf p2 chunk 1/5]
  batch 10000/51300 | loss -10.1624 | eta 26.4 min [nsf p2 chunk 1/5]
  batch 11000/51300 | loss -10.1658 | eta 18.3 min [nsf p2 chunk 1/5]
  batch 12000/51300 | loss -10.1727 | eta 12.9 min [nsf p2 chunk 1/5]
  batch 13000/51300 | loss -10.1764 | eta 13.7 min [nsf p2 chunk 1/5]
  batch 14000/51300 | loss -10.1797 | eta 12.3 min [nsf p2 chunk 1/5]
  batch 15000/51300 | loss -10.1819 | eta 12.0 min [nsf p2 chunk 1/5]
  batch 16000/51300 | loss -10.1842 | eta 11.8 min [nsf p2 chunk 1/5]
  batch 17000/51300 | loss -10.1878 | eta 12.7 min [nsf p2 chunk 1/5]
  batch 18000/51300 | loss -10.1891 | eta 11.7 min [nsf p2 chunk 1/5]
  batch 19000/51300 | loss -10.1910 | eta 10.9 min [nsf p2 chunk 1/5]
  batch 20000/51300 | loss -10.1912 | eta 10.8 min [nsf p2 chunk 1/5]
  batch 21000/51300 | loss -10.1915 | eta 10.1 min [nsf p2 chunk 1/5]
  batch 22000/51300 | loss -10.1927 | eta 9.0 min [nsf p2 chunk 1/5]
  batch 23000/51300 | loss -10.1946 | eta 9.6 min [nsf p2 chunk 1/5]
  batch 24000/51300 | loss -10.1957 | eta 9.0 min [nsf p2 chunk 1/5]
  batch 25000/51300 | loss -10.1971 | eta 8.9 min [nsf p2 chunk 1/5]
  batch 26000/51300 | loss -10.1976 | eta 8.3 min [nsf p2 chunk 1/5]
  batch 27000/51300 | loss -10.1984 | eta 8.1 min [nsf p2 chunk 1/5]
  batch 28000/51300 | loss -10.1984 | eta 10.6 min [nsf p2 chunk 1/5]
  batch 29000/51300 | loss -10.1993 | eta 8.0 min [nsf p2 chunk 1/5]
